SampleNo,X1,X2,X3,y1,y2,y3,y4,y5,y6,y7,y8,y9
70,120,10,0.167,0.015422,0.035233,0.0296,0.021267,0.022933,1929.826389,1930.023037,1947.440373,1976.892876

71,120,10,0.5,0.011599,0.036267,0.025867,0.018,0.021467,1867.335919,1845.657195,1697.147712,1883.493778

72,120,10,1.5,0.012469,0.0359,0.0204,0.025833,0.0205,1818.944448,2003.487099,1793.189349,1834.899282

73,120,20,0,0.010957,0.0334,0.028367,0.02205,0.019433,1902.855049,1978.689613,2058.793897,1877.405914

74,120,20,0.167,0.015134,0.033033,0.026567,0.0264,0.025128,1908.406492,1953.219624,1685.293786,2005.019914

75,120,20,0.5,0.010964,0.0356,0.021167,0.02635,0.022963,1901.811582,1931.381593,1840.008623,1930.634304

76,120,20,1.5,0.014733,0.031567,0.024733,0.0345,0.016126,1791.900899,1901.027407,1708.714695,1784.613427

77,120,40,0,0.00696,0.029767,0.029767,0.023367,0.01972,1962.133029,1943.204315,1726.72444,1975.815987

78,120,40,0.167,0.009879,0.034867,0.027267,0.02985,0.021164,1853.110523,2086.942694,1664.556523,2013.211035

79,120,40,0.5,0.010791,0.039867,0.033,0.0252,0.018258,1812.193412,1853.776984,1751.038595,1865.678559

80,120,40,1.5,0.013236,0.030867,0.0229,0.0197,0.021733,1911.72419,2067.741603,2063.314041,1867.443019

81,0,0,0,0.080662,0.116667,0.067267,0.040233,0.0377,1587.940605,1615.841426,1607.310679,1694.778938

82,0,0,0.167,0.078363,0.099367,0.037733,0.044233,0.041367,1442.482979,1830.315033,1696.367529,1638.976446

83,0,0,0.5,0.080649,0.126667,0.043167,0.049267,0.029067,1453.599809,1861.066554,1718.709889,1781.026397

84,0,0,1.5,0.077377,0.082767,0.037333,0.039533,0.027967,1510.081199,1794.643732,1752.830368,1744.70742
